"","word","sub","end_X","end_Y","respondTime","responseFlag"
"374","Afraid",26,-119.65234375,89.08984375,5.68962423998164,1
"375","Sluggish",27,-206.71484375,-100.5703125,3.36015297501581,1
"376","Still",27,0.96484375,-120.98046875,4.59497628000099,1
"377","Satisfied",27,209.8671875,33.71484375,4.11449559300672,1
"378","Surprised",27,95.62890625,217.44140625,4.08054714498576,1
"379","Calm",27,-2.234375,-2.4453125,2.94205979799153,1
"380","Peppy",27,115.6328125,39.73828125,6.06466385800741,1
"381","Disgusted",27,-139.296875,203.2578125,4.75653278897516,1
"382","Enthusiastic",27,184.53125,162.16015625,2.79721101300674,1
"383","Afraid",27,-195.69921875,210.09375,2.99868128300295,1
"384","Neutral",27,2.93359375,-0.27734375,2.46088382002199,1
"385","Sad",27,-175.48828125,-22.48046875,6.54814208298922,1
"386","Relaxed",27,193.40625,-32.078125,4.80503981601214,1
"387","Annoyed",27,-123.09375,47.3125,4.03994077499374,1
"388","Nervous",27,-40.37890625,154.37109375,3.78333853499498,1
"389","Sleepy",27,-1.4296875,-250,6.85744331698515,1
"390","Happy",27,220.984375,14.375,4.6155115700094,1
"391","Quiet",27,63.19140625,-2.28125,5.35034780600108,1
"392","Aroused",27,24.85546875,93.6953125,5.21577950700885,1
"393","Angry",27,-148.484375,109.8984375,5.64291977699031,1
"394","Disappointed",27,-153.69921875,-105.390625,4.9274946640071,1
"395","Disgusted",28,-218.01171875,42.23046875,3.78640289901523,1
"396","Nervous",28,-50.19921875,229.71484375,5.27820114299539,1
"397","Enthusiastic",28,214.37109375,99.9375,2.68085626099491,1
"398","Quiet",28,2.90234375,41.875,3.54720178601565,1
"399","Satisfied",28,32.5625,-60.3046875,3.52468062500702,1
"400","Angry",28,-137.140625,191.6640625,3.6440669609874,1
"401","Happy",28,154.3359375,81.84765625,2.8352989529958,1
"402","Surprised",28,16.76953125,164.93359375,5.10788182698889,1
"403","Disappointed",28,-79.30859375,-53.77734375,2.83335620901198,1
"404","Calm",28,73.5625,-71.3828125,4.38177295398782,1
"405","Sleepy",28,-0.1796875,-77.30078125,4.6541082149779,1
"406","Annoyed",28,-143.78125,105.33203125,4.15994949202286,1
"407","Sad",28,-196.16796875,-117.86328125,3.9918219599931,1
"408","Aroused",28,69.9921875,203.89453125,4.77242208502139,1
"409","Afraid",28,-190.90625,184.23046875,2.98349324299488,1
"410","Relaxed",28,174.76171875,-200.3515625,3.19994418200804,1
"411","Still",28,1.8125,-90.9140625,5.0806582570076,1
"412","Peppy",28,27.03515625,149.7265625,4.44848137401277,1
"413","Sluggish",28,-129.32421875,-129.1953125,3.66866147299879,1
"414","Neutral",28,0,0,3.54944538700511,1
"415","Neutral",29,-1.6875,-3.3125,3.33504651198746,1
"416","Angry",29,-244.7109375,164.76171875,4.44475291098934,1
"417","Still",29,-2.56640625,0.234375,2.97359762701672,1
"418","Sluggish",29,-203.73046875,-238.1796875,3.56562816002406,1
"419","Disgusted",29,-233.7109375,99.015625,4.92147225700319,1
"420","Afraid",29,-241.625,234.6171875,2.44444296098663,1
"421","Annoyed",29,-242.3125,46.79296875,5.1182226529927,1
"422","Satisfied",29,246.8984375,0.4296875,4.78355113597354,1
"423","Peppy",29,228.07421875,129.3125,2.8400133610121,1
"424","Relaxed",29,235.66796875,-144.6875,2.66810794800404,1
"425","Calm",29,234.4609375,-208.46484375,1.60254503099713,1
"426","Aroused",29,-4.25390625,230.75390625,2.5771513459913,1
"427","Sad",29,-159.83984375,-15.9296875,3.58008925800095,1
"428","Surprised",29,-48.390625,225.1875,2.48538857098902,1
